Season,Player,Age,Tm,Pos,GP,G,GPG,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOwin,FOloss,FO%,MoreThan50
1976,Pierre Larouche,20.0, PIT , C ,76,53,0.6974,58, 111 , 4 , 33 , 35 , 18 , -   , 3 , 43 , 15 , -   , 319 , 17 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1980,Marcel Dionne*,28.0, LAK , C ,80,53,0.6625,84, 137 , 35 , 32 , 36 , 17 , -   , 6 , 55 , 28 , 1 , 348 , 15 ,0,0,0.0,0.0,0.0,0.0,0.0,True
2015,Alex Ovechkin,29.0, WSH , LW ,81,53,0.6543,28, 81 , 10 , 58 , 28 , 25 , -   , 11 , 19 , 9 , -   , 395 , 13 ," 1,646 ",20:20,32.0,259.0,2.0,3.0,40.0,True
1994,Dave Andreychuk,30.0, TOR , RW ,83,53,0.6386,46, 99 , 22 , 98 , 27 , 21 , 5 , 8 , 24 , 22 , -   , 333 , 16 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1985,Dale Hawerchuk*,21.0, WIN , C ,80,53,0.6625,77, 130 , 22 , 74 , 33 , 17 , 3 , 4 , 50 , 26 , 1 , 280 , 19 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1993,Mark Recchi,24.0, PHI , RW ,84,53,0.631,70, 123 , 1 , 95 , 34 , 15 , 4 , 6 , 42 , 27 , 1 , 274 , 19 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1993,Pat LaFontaine*,27.0, BUF , C ,84,53,0.631,95, 148 , 11 , 63 , 31 , 20 , 2 , 7 , 52 , 43 , -   , 306 , 17 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1985,Bob Carpenter,21.0, WSH , C ,80,53,0.6625,42, 95 , 20 , 87 , 41 , 12 , -   , 7 , 25 , 17 , -   , 260 , 20 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1992,Gary Roberts,25.0, CGY , LW ,76,53,0.6974,37, 90 , 32 , 207 , 38 , 15 , -   , 2 , 29 , 7 , 1 , 196 , 27 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1986,Michel Goulet*,25.0, QUE , LW ,75,53,0.7067,51, 104 , 6 , 64 , 25 , 28 , -   , 3 , 30 , 21 , -   , 244 , 22 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1992,Jeremy Roenick,22.0, CHI , C ,80,53,0.6625,50, 103 , 23 , 98 , 28 , 22 , 3 , 13 , 28 , 22 , -   , 234 , 23 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1988,Luc Robitaille*,21.0, LAK , LW ,80,53,0.6625,58, 111 ,-9 , 82 , 36 , 17 , -   , 6 , 33 , 25 , -   , 220 , 24 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1998,Peter Bondra,29.0, WSH , RW ,76,52,0.6842,26, 78 , 14 , 44 , 36 , 11 , 5 , 13 , 16 , 10 , -   , 284 , 18 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1994,Adam Graves,25.0, NYR , LW ,84,52,0.619,27, 79 , 27 , 127 , 28 , 20 , 4 , 4 , 18 , 8 , 1 , 291 , 18 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1979,Guy Lafleur*,27.0, MTL , RW ,80,52,0.65,77, 129 , 56 , 28 , 39 , 13 , -   , 12 , 44 , 32 , 1 , 342 , 15 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1996,Peter Bondra,27.0, WSH , RW ,67,52,0.7761,28, 80 , 18 , 40 , 37 , 11 , 4 , 7 , 16 , 11 , 1 , 322 , 16 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1997,Keith Tkachuk,24.0, PHX , LW ,81,52,0.642,34, 86 ,-1 , 228 , 41 , 9 , 2 , 7 , 24 , 10 , -   , 296 , 18 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1998,Teemu Selanne,27.0, MDA , RW ,73,52,0.7123,34, 86 , 12 , 30 , 41 , 10 , 1 , 10 , 26 , 7 , 1 , 268 , 19 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1976,Jean Pronovost,30.0, PIT , RW ,80,52,0.65,52, 104 , 16 , 24 , 37 , 13 , 2 , 3 , 28 , 24 , -   , 299 , 17 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1975,Rick Martin,23.0, BUF , LW ,68,52,0.7647,43, 95 , 5 , 72 , 31 , 21 , -   , 6 , 26 , 17 , -   , 301 , 17 ,0,0,0.0,0.0,0.0,0.0,0.0,True
2001,Jaromir Jagr,28.0, PIT , RW ,81,52,0.642,69, 121 , 19 , 42 , 37 , 14 , 1 , 10 , 41 , 27 , 1 , 317 , 16 ," 1,888 ",23:19,0.0,0.0,0.0,0.0,0.0,True
1994,Brendan Shanahan*,25.0, STL , LW ,81,52,0.642,50, 102 ,-9 , 211 , 30 , 15 , 7 , 8 , 22 , 27 , 1 , 397 , 13 ,0,0,0.0,0.0,0.0,0.0,0.0,True
2002,Jarome Iginla,24.0, CGY , RW ,82,52,0.6341,44, 96 , 27 , 77 , 35 , 16 , 1 , 7 , 29 , 14 , 1 , 311 , 17 ," 1,834 ",22:22,0.0,0.0,0.0,0.0,0.0,True
2006,Ilya Kovalchuk,22.0, ATL , LW ,78,52,0.6667,46, 98 ,-6 , 68 , 25 , 27 , -   , 7 , 16 , 29 , 1 , 323 , 16 ," 1,746 ",22:23,0.0,0.0,0.0,0.0,0.0,True
1974,Rick Martin,22.0, BUF , LW ,78,52,0.6667,34, 86 ,-22 , 38 , 44 , 8 , -   , 6 , 19 , 15 , -   , 320 , 16 ,0,0,0.0,0.0,0.0,0.0,0.0,True
2006,Alex Ovechkin,20.0, WSH , LW ,81,52,0.642,54, 106 , 2 , 52 , 28 , 21 , 3 , 5 , 23 , 31 , -   , 425 , 12 ," 1,751 ",21:37,0.0,0.0,0.0,0.0,0.0,True
1973,Mickey Redmond,25.0, DET , RW ,76,52,0.6842,41, 93 , 6 , 24 , 37 , 15 , -   , 7 , 26 , 15 , -   , 363 , 14 ,0,0,0.0,0.0,0.0,0.0,0.0,True
2007,Vincent Lecavalier,26.0, TBL , C ,82,52,0.6341,56, 108 , 2 , 44 , 31 , 16 , 5 , 7 , 32 , 20 , 4 , 339 , 15 ," 1,854 ",22:36,0.0,0.0,0.0,0.0,0.0,True
